Company	Revenue	NumberEmployees	NumberTractors	NumberTruckVans	NumberTrailers	SCAC	Year
P.A.M. Transportation Services Inc.	410937	2911	1761		4919	PAMT	2014
P.A.M. Transportation Services Inc.	291910	2591	1731	0	4630	PAMT	2009
Paschall Truck Lines Inc.	172717	1485	1105	0	2895	PASC	2009
Paschall Truck Lines Inc.	200845	1474	1137	0	2704	PASC	2010
Paschall Truck Lines Inc.	218383	1464	1150	0	3000	PASC	2011
Paschall Truck Lines Inc.	220696	1559	1139	0	2599	PASC	2012
Paschall Truck Lines Inc.	222685	1450	1130		2600	PASC	2013
Paschall Truck Lines Inc.	261211		1150		3000	PASC	2014
Paschall Truck Lines Inc.	237311	1872	1303		3101	PASC	2017
Prime Inc.	837382	3528	4418	0	6149	PDSI	2009
Prime Inc.	931787	3565	4392	0	6828	PDSI	2010
Prime Inc.	1017482	3629	4886	0	7262	PDSI	2011
Prime Inc.	1152569	4450	4985	0	8781	PDSI	2012
Prime Inc.	1300998	4400	5347		9436	PDSI	2013
Prime Inc.	1563413	4450	6187		10637	PDSI	2014
Prime Inc.	1683834	3661	6246		12309	PDSI	2017
Prime Inc.	1875031	4300	6296		12753	PDSI	2018
Pitt Ohio Transportation Group	312454	2502	997	385	3096	PITD	2010
Pitt Ohio Transportation Group	358384	2586	926	360	2835	PITD	2011
Pitt Ohio Transportation Group	388200	2713	10041	449	3015	PITD	2012
Pitt Ohio Transportation Group	429800	2851	1070	466	3134	PITD	2013
Pitt Ohio Transportation Group	551300	3140	812	434	2037	PITD	2014
Pitt Ohio Transportation Group	255198	2042	682	436	1747	PITD	2009
Pitt Ohio Transportation Group	649972	3178	866		2072	PITD	2017
Pitt Ohio Transportation Group	715827	5381	1856		5372	PITD	2018
Penske Logistics	2400000	9000	2115	289	2969	PSKL	2010
Penske Logistics	990000	8000	2180	330	2878	PSKL	2011
Penske Logistics	951000	8151	1615	219	2883	PSKL	2012
Penske Logistics	968000	10000	1598	224	2816	PSKL	2013
Penske Logistics	1137000	13000	2054	245	4918	PSKL	2014
Penske Logistics	1500000	14180	2704		8785	PSKL	2017
Penske Logistics	1700000	18011	2935		9108	PSKL	2018
Penske Logistics	4000000	18000	12060	105	33028	PSKL	2009
Panther Expedited Services	196414	394	316	722	0	PTWT	2010
A. Duie Pyle Cos.	205000	2455	800	26	1451	PYLE	2009
A. Duie Pyle Cos.	234000	1956	893	23	1799	PYLE	2010
A. Duie Pyle Cos.	270000	2163	754	23	2000	PYLE	2011
A. Duie Pyle Cos.	286000	2149	740	23	2050	PYLE	2012
A. Duie Pyle Cos.	293000	2235	731	22	1702	PYLE	2013
A. Duie Pyle Cos.	346000	2800	945		2225	PYLE	2017
A. Duie Pyle Cos.	373000	2697	946		1936	PYLE	2018
J.B. Hunt Transport Services Inc.	3203321	14171	0	151350	53200	QPMT	2009
J.B. Hunt Transport Services Inc.	3793485	15223	9543	0	20803	QPMT	2010
J.B. Hunt Transport Services Inc.	4527000	15631	10287	0	54506	QPMT	2011
J.B. Hunt Transport Services Inc.	5054980	16475	9686	684	22699	QPMT	2012
J.B. Hunt Transport Services Inc.	5585000	18467	11235	745	26340	QPMT	2013
J.B. Hunt Transport Services Inc.	6165441	20158	12995		27731	QPMT	2014
J.B. Hunt Transport Services Inc.	6555459	22172	14805		30330	QPMT	2017
J.B. Hunt Transport Services Inc.	7189568	27670	14392		32931	QPMT	2018
Quality Distribution Inc.	745951	851	2940	0	5493	QTKI	2011
Quality Distribution Inc.	842118	1371	2775	0	6514	QTKI	2012
Quality Distribution Inc.	929810	1145	2899		5255	QTKI	2013
Quality Distribution Inc.	991758	188	3195		3171	QTKI	2014
Quality Distribution Inc.	613609	810	2839	0	6410	QTKI	2009
Quality Distribution Inc.	686598	752	2901	0	5738	QTKI	2010
Quality Distribution Inc.	758000					QTKI	2017
Quality Distribution Inc.	786000		2541		5204	QTKI	2018
Roadrunner Transportation Systems Inc.	843627	1848	2320	0	1225	RDFS	2011
Roadrunner Transportation Systems Inc.	450351	1040	1300	0	900	RDFS	2009
Roadrunner Transportation Systems Inc.	632018	1054	1330	0	800	RDFS	2010
Roadrunner Transportation Systems Inc.	1073354	2491	3222	0	2609	RDFS	2012
Roadrunner Transportation Systems Inc.	1361410	3325	3723		3429	RDFS	2013
Roadrunner Transportation Systems Inc.	1872816	4142	4170		5135	RDFS	2014
Roadrunner Transportation Systems Inc.	2044000	4645	4332		6508	RDFS	2017
Roadrunner Transportation Systems Inc.	2091300	4600	3625		6920	RDFS	2018
RoadLink	374000	2400	1790	0	457	RDLK	2009
RoadLink	297000	2100	1285	0	325	RDLK	2010
YRC Worldwide Inc. 	4334640	32000	16152	0	52098	RDWY	2010
YRC Worldwide Inc. 	4868844	32000	15602	0	51636	RDWY	2011
YRC Worldwide Inc. 	4850500	32000	14572	0	47694	RDWY	2012
YRC Worldwide Inc. 	4865400	2000	14500		46500	RDWY	2013
YRC Worldwide Inc. 	5068800	33000	6400		13000	RDWY	2014
YRC Worldwide Inc. 	4697500	32000	14300		44500	RDWY	2017
YRC Worldwide Inc. 	4891000	32000	14100		44600	RDWY	2018
YRC Worldwide Inc. 	5282778	36000	18600	400	65600	RDWY	2009
Ruan Transportation Management Systems	872184	5546	3425		8165	"RLCF,RUAN"	2017
Ruan Transportation Management Systems	836298	5500	2900		8710	"RLCF,RUAN"	2018
Ruan Transportation Management Systems	680134	4553	2666	18	4450	"RLCF,RUAN"	2009
Ruan Transportation Management Systems	669905	4603	3036	25	7443	"RLCF,RUAN"	2010
Ruan Transportation Management Systems	750915	5155	3334	45	5667	"RLCF,RUAN"	2011
Ruan Transportation Management Systems	774892	5139	3319	35	5858	"RLCF,RUAN"	2012
Ruan Transportation Management Systems	807507	5088	3651	39	6683	"RLCF,RUAN"	2013
Ruan Transportation Management Systems	848759	5595	3754	48	8395	"RLCF,RUAN"	2014
Roehl Transport Inc.	228057	1955	1873	4	4722	ROEV	2009
Roehl Transport Inc.	272536	2185	1810	4	4690	ROEV	2010
Roehl Transport Inc.	339388	2345	1943	4	4875	ROEV	2011
Roehl Transport Inc.	374620	2506	1980	5	5004	ROEV	2012
Roehl Transport Inc.	384007	2290	2058	7	5148	ROEV	2013
Roehl Transport Inc.	395971	2500	2255	8	4090	ROEV	2014
Roehl Transport Inc.	355323	2485	1995		4898	ROEV	2017
Roehl Transport Inc.	384473	2336	1983		4873	ROEV	2018
Saia Inc.	849141	7200	3390	127	11089	SAIA	2009
Saia Inc.	902660	7500	3525	130	10900	SAIA	2010
Saia Inc.	1030224	7900	4125	130	11000	SAIA	2011
Saia Inc.	1100000	8000	3662	80	10407	SAIA	2012
Saia Inc.	1139044	8400	3426	35	10848	SAIA	2013
Saia Inc.	1272321	8900	3780		11530	SAIA	2014
Saia Inc.	1218481	9000	4000		13000	SAIA	2017
Saia Inc.	1378510	9800	4259		13901	SAIA	2018
Schneider National Inc.	4045736	19300	10459		37910	SCNN	2017
Schneider National Inc.	4383600	19600	11859		37637	SCNN	2018
Schneider National Inc.	2900000	18468	9169	0	21951	SCNN	2009
Schneider National Inc.	3100000	18395	11634	0	32608	SCNN	2010
Schneider National Inc.	3400000	17400	11700	80	32000	SCNN	2011
Schneider National Inc.	3500000	16700	11540	23	29800	SCNN	2012
Schneider National Inc.	3600000	16900	11700		31000	SCNN	2013
Schneider National Inc.	3900000	17450	12300		32350	SCNN	2014
Southeastern Freight Lines	703354	6883	3136	27	9387	SEFL	2009
Southeastern Freight Lines	826755	7360	2778	23	9189	SEFL	2010
Southeastern Freight Lines	942912	7552	3368	23	11496	SEFL	2011
Southeastern Freight Lines	1012908	7852	3291	23	9820	SEFL	2012
Southeastern Freight Lines	1065188	8030	3318	23	11042	SEFL	2013
Southeastern Freight Lines	1171968	8299	3599	23	11496	SEFL	2014
Southeastern Freight Lines	1192296	8458	3734		11943	SEFL	2017
Southeastern Freight Lines	1260050	8792	3635		11697	SEFL	2018
The Suddath Cos.	380000	1700	304	283	579	SGLN	2011
The Suddath Cos.	429324	1900	336	205	558	SGLN	2012
The Suddath Cos.	500000	2000	330	265	692	SGLN	2013
The Suddath Cos.	500000	2000	384	287	754	SGLN	2014
The Suddath Cos.	255221	940	216	217	412	SGLN	2009
The Suddath Cos.	281515	1350	327	251	551	SGLN	2010
SLH Transport	193595	858	666	0	3450	SLHO	2010
Stevens Transport	479291	2450	2400	0	3050	STVV	2009
Stevens Transport	508930	2475	2500	0	3150	STVV	2010
Stevens Transport	569901	2650	2600	0	3310	STVV	2011
Stevens Transport	612365	2725	2610	0	3485	STVV	2012
Stevens Transport	642138	2835	2710		3615	STVV	2013
Stevens Transport	673160	2835	2775		3782	STVV	2014
Stevens Transport	662450	2703	2690		3795	STVV	2017
Stevens Transport	694980	2925	2810		4010	STVV	2018
Superior Bulk Logistics Inc.	188278	1300	1185	0	1954	SUAH	2009
Superior Bulk Logistics Inc.	207060	1321	1082	0	1898	SUAH	2010
Superior Bulk Logistics Inc.	224000	1329	1098	0	1835	SUAH	2011
Superior Bulk Logistics Inc.	234700	1359	1078	0	1967	SUAH	2012
Superior Bulk Logistics Inc.	250700	1414	1176		2037	SUAH	2013
Superior Bulk Logistics Inc.	260200	1416	1189		2099	SUAH	2014
Superior Bulk Logistics Inc.	233900	1392	1300		2100	SUAH	2017
Superior Bulk Logistics Inc.	252300	1370	1100		2000	SUAH	2018
Super Service Holdings	209220	1560	1267	0	2600	SUSE	2010
Super Service Holdings	202700	1439	1154	0	2600	SUSE	2011
Super Service Holdings	250000		1154	0	2830	SUSE	2009
Swift Transportation	2571000	15500	16025	0	49200	SWFT	2009
Swift Transportation	2929723	18000	16100	0	48992	SWFT	2010
Swift Transportation	3333908	17400	15902	0	50555	SWFT	2011
Swift Transportation	3493182	16671	15231			SWFT	2012
Swift Transportation	4118195	16900	17961		57310	SWFT	2013
Swift Transportation	4298724	21274	18836		61652	SWFT	2014
Swift Transportation	4031517	21900	18366		64066	SWFT	2017
Specialized Transportation Inc.	230000	225	643	200	1100	SZXE	2009
Specialized Transportation Inc.	230700	230	580	123	890	SZXE	2010
TransAm Trucking Inc.	267738	663	1347	0	2400	TAMI	2009
TransAm Trucking Inc.	269660	683	1347	0	2100	TAMI	2010
TransAm Trucking Inc.	305000	588	1347	0	2100	TAMI	2011
TransAm Trucking Inc.	321000	669	1347	0	2100	TAMI	2012
TransAm Trucking Inc.	270000		1144		1818	TAMI	2017
TransAm Trucking Inc.	280000		1135		1823	TAMI	2018
TMC Transportation	394000					TDED	2017
TMC Transportation	413000		2613		3404	TDED	2018
TransX Group of Companies	448666	2544	1487	39	3925	TNXL	2009
TransX Group of Companies	454148	2468	1414	72	4015	TNXL	2010
TransX Group of Companies	507481	2510	1510	0	4100	TNXL	2011
TransX Group of Companies	534214	2560				TNXL	2012
TransX Group of Companies	533061	2630	1540		4280	TNXL	2013
TransX Group of Companies	482571	2560	1505		4240	TNXL	2014
TransX Group of Companies	423678	2617	1560		4410	TNXL	2017
TransX Group of Companies	415541	2617	1365		4410	TNXL	2018
Towne Air Freight	226000	1250	1001	50	1400	TOWE	2010
Towne Air Freight	241772	1120	1020	50	1500	TOWE	2011
Towne Air Freight	258825		1150	0	0	TOWE	2012
Towne Air Freight	265000		1060	50	1600	TOWE	2013
3PD Inc.	271000	500	539	539	0	TPIB	2009
Trimac Transportation	505000	4200	1874	0	4918	"TSUH,TTOS"	2009
Trimac Transportation	579551	3725	1879	0	4856	"TSUH,TTOS"	2010
Trimac Transportation	589000	3725	1879	0	4856	"TSUH,TTOS"	2011
Trimac Transportation	722288	3750	2132	0	4871	"TSUH,TTOS"	2012
Trimac Transportation	761000	3345	1970		4801	"TSUH,TTOS"	2013
Trimac Transportation	737725	3262	2167		4679	"TSUH,TTOS"	2014
Trimac Transportation	700000	3400	1800		2400	"TSUH,TTOS"	2017
Trimac Transportation	576796	3200	1720		3800	"TSUH,TTOS"	2018
Universal Logistics Holdings	1072751	6275	3801		4154	ULSV	2017
Universal Logistics Holdings	1216665	8231	3784		5765	ULSV	2018
UPS Inc.	45297000	408000	12268	66425	22015	UPSF	2009
UPS Inc.	49600000	400600	15558.51728	84241.48272	21090	UPSF	2010
UPS Inc.	53105000	398300	15764.45717	85356.54283	78974	UPSF	2011
UPS Inc.	54127000	399000	16034.15892	86816.84108	83730	UPSF	2012
UPS Inc.	55438000	395000	103000			UPSF	2013
UPS Inc.	58232000	435000	106000			UPSF	2014
UPS Inc.	60906000	434000				UPSF	2017
UPS Inc.	65872000	454000	18683		97746	UPSF	2018
United Road Services Inc.	198000	1200	1126	0	908	URDS	2009
United Road Services Inc.	285000	1250	1130	0	910	URDS	2010
United Road Services Inc.	307000	1122	776	0	184	URDS	2011
United Road Services Inc.	325000	1100	1100	0	900	URDS	2012
United Road Services Inc.	333464	2100	1740			URDS	2013
United Road Services Inc.	532000	1700	1772			URDS	2014
United Road Services Inc.	525000	1700	1835		1200	URDS	2017
United Road Services Inc.	645000	1700	1850		1150	URDS	2018
USA Truck	382368	3000	2344	0	6904	USAT	2009
USA Truck	460161		2621	0	6716	USAT	2010
USA Truck	519408	3020	2394	0	6318	USAT	2011
USA Truck	512428	2990	2246	0	6091	USAT	2012
USA Truck	555005	2750	2248		6054	USAT	2013
USA Truck	602477		2183		6216	USAT	2014
USA Truck	429099	2000	1415		5605	USAT	2017
USA Truck	446533	2400	1669		5596	USAT	2018
U.S. Xpress Enterprises	1394537	10566	8536	0	21458	USXI	2009
U.S. Xpress Enterprises	1585283	9250	8517	0	22000	USXI	2010
U.S. Xpress Enterprises	1695548	9666	7500	150	21000	USXI	2011
U.S. Xpress Enterprises	1756464	11983	7550	0	21000	USXI	2012
U.S. Xpress Enterprises	1600000	9700	7996		17000	USXI	2013
U.S. Xpress Enterprises	1730000		7770		17000	USXI	2014
U.S. Xpress Enterprises	1500000	10135	7000		15500	USXI	2017
U.S. Xpress Enterprises	1600000	9522	6600		16800	USXI	2018
Universal Truckload Services Inc.	699771	675	3240	0	0	UTVE	2011
Universal Truckload Services Inc.	605943	714	2997	0	3400	UTVE	2010
Universal Truckload Services Inc.	1037006	4809	4125	0	6308	UTVE	2012
Universal Truckload Services Inc.	1033492	4339	4137		6198	UTVE	2013
Universal Truckload Services Inc.	1191521	4218	4408		6291	UTVE	2014
Universal Truckload Services Inc.	503230	630	3558	0	5200	UTVE	2009
Velocity Express	180000	1200	71	518	1079	VAIC	2009
Vitran Corp.	702914	6366	2603	243	7221	VITR	2012
Vitran Corp.	629260	4832	2338	0	6967	VITR	2009
Vitran Corp.	672556	4895	2134	0	6158	VITR	2010
Vitran Corp.	805598	6282	2664	194	7386	VITR	2011
The Waggoners Trucking	224722	1069	1101	0	1100	WAGP	2011
The Waggoners Trucking	247031	1087	809	0	900	WAGP	2012
Werner Enterprises Inc.	1666470	11352	7250	0	23880	"WENP,WEND,WENL,WGLL,WENF,WMMD,WEDV,WERN,WVAS,WMMI,WVAD,WRBH"	2009
Werner Enterprises Inc.	1815020	11916	7275	0	23850	"WENP,WEND,WENL,WGLL,WENF,WMMD,WEDV,WERN,WVAS,WMMI,WVAD,WRBH"	2010
Werner Enterprises Inc.	2002850	11033	7280	0	23045	"WENP,WEND,WENL,WGLL,WENF,WMMD,WEDV,WERN,WVAS,WMMI,WVAD,WRBH"	2011
Werner Enterprises Inc.	2036386	10736	6505	645	23380	"WENP,WEND,WENL,WGLL,WENF,WMMD,WEDV,WERN,WVAS,WMMI,WVAD,WRBH"	2012
Werner Enterprises Inc.	2029183	11642	7050		21980	"WENP,WEND,WENL,WGLL,WENF,WMMD,WEDV,WERN,WVAS,WMMI,WVAD,WRBH"	2013
Werner Enterprises Inc.	2139289	10664	7105		22305	"WENP,WEND,WENL,WGLL,WENF,WMMD,WEDV,WERN,WVAS,WMMI,WVAD,WRBH"	2014
Werner Enterprises Inc.	2008991	11738	7100		24350	"WENP,WEND,WENL,WGLL,WENF,WMMD,WEDV,WERN,WVAS,WMMI,WVAD,WRBH"	2017
Werner Enterprises Inc.	2116737	12154	7480		24500	"WENP,WEND,WENL,WGLL,WENF,WMMD,WEDV,WERN,WVAS,WMMI,WVAD,WRBH"	2018
Wheaton Van Lines	250000	138	103	47	88	WHTN	2011
Wheaton Van Lines	250000	150	661	496	779	WHTN	2012
Wheaton Van Lines	221000	183	740	261	1143	WHTN	2013
Wheaton Van Lines	210527	180	717	774	1075	WHTN	2014
Western Express Inc.	439000		2500	0	6250	WSXI	2009
Western Express Inc.	432000		2459	0	6687	WSXI	2010
Western Express Inc.	433000	300	2300	0	5800	WSXI	2011
Western Express Inc.	433018	2500	2390	0	5000	WSXI	2012
Western Express Inc.	463454	2962	2419		5650	WSXI	2013
Western Express Inc.	540104	3107	2404		5700	WSXI	2014
Western Express Inc.	527909	3000	2582		7366	WSXI	2017
Western Express Inc.	566230	2850	2555		7800	WSXI	2018
XPO Logistics	2356600	10000	6200			XPOL	2014
XPO Logistics	14619400	89000	15396		27606	XPOL	2017
XPO Logistics	15380800	95000	16287		27591	XPOL	2018
Allied Systems Holdings	3434000						2011
Arkansas Best Corp.	1472901	10347	3962	73	19764		2009
Arkansas Best Corp.	1657864	10750	3821	63	19285		2010
Arkansas Best Corp.	1907609	10800	3989	67	20209		2011
Arkansas Best Corp.	2065999	11250	3835	65	20079		2012
Arkansas Best Corp.	2299549	11420	3791	56	19650		2013
Arkansas Best Corp.	2612693	13238	4191	56	19911		2014
Black Horse Carriers	238000	1665	950	160	2800		2014
Black Horse Carriers	337500	2625	1520		3000		2017
Black Horse Carriers	412500	3150	1670		3500		2018
Boyd Bros. Transportation	217338	1042	1050	0	1670		2012
Bridge Terminal Transport	218245	262	1285				2013
Bridge Terminal Transport	224157	300	1414	0	0		2009
Comcar Industries	401279	3294	2803	0	5575		2009
Comcar Industries	368099	3023	2713	0	5354		2010
Comcar Industries	392687	3002	2713	0	5354		2011
Comcar Industries	3737239	3004	2305	0	4784		2012
Comcar Industries	346403	2679	1986		4401		2013
Comcar Industries	315972	2409	1937		4226		2014
Comcar Industries	240054		1592		4660		2017
Consolidated Fastfrate Inc.	184023	1600	590	30	900		2009
Consolidated Fastfrate Inc.	196021	1800	609	983	0		2010
Daseke Inc.	447000	1990	2055		3800		2013
Daseke Inc.	668000	2500	2610		5515		2014
Daseke Inc.	770000	3400	3500		7300		2017
Daseke Inc.	1300000	4700	5200		11500		2018
Day & Ross Transportation	640515	1829	1531		4010		2017
Day & Ross Transportation	718941	2240	1800		5714		2018
Day & Ross Transportation	643583	4318	2154	170	3858		2010
Day & Ross Transportation	785022	4292	2124	145	4026		2011
Day & Ross Transportation	830642	2138	1630	486	3944		2012
Day & Ross Transportation	796476	1734	1612	339	2629		2013
Day & Ross Transportation	771988	1602	1552	359	3103		2014
Eagle Express Lines/Hoovestol Inc.	452429		1935		2421		2018
Fastfrate Holdings	263079	1600	636	24	1668		2012
Fastfrate Holdings	274633		328	15	650		2013
Fastfrate Holdings	222960	710	504	24	1371		2014
Graebel Cos.	322926	1603	460	400	864		2011
Graebel Cos.	261000	1531	805	472	1036		2009
Graebel Cos.	266000	1363	463	400	864		2010
Graebel Cos.	341856	2377	618	340	972		2012
Graebel Cos.	363131	2271	618	253	963		2013
Graebel Cos.	270000	2000	420	192	800		2014
Groendyke Transport Inc.	172441	1286	1050	40	1700		2009
Groendyke Transport Inc.	217780	1317	953	0	1800		2011
Groendyke Transport Inc.	195090	1320	983	0	1870		2010
Groendyke Transport Inc.	228855	1382	1048	0	1723		2012
Groendyke Transport Inc.	239000	1368	955		1800		2013
Groendyke Transport Inc.	241313	1423	975		1500		2014
IMC Cos.	236000	1522	1037		88		2014
IMC Cos.	293000	1875	1515		91		2017
IMC Cos.	332490	2300	1658		148		2018
Knight Transportation	651721	4500	3736	0	8493		2009
Knight Transportation	730709	4526	3866	0	8960		2010
Knight Transportation	866199	4854	3976	0	8986		2011
Knight Transportation	936036	4600	4134	0	9564		2012
Knight Transportation	969237	4600	3991		9181		2013
Knight Transportation	1102332	5526	4738		11487		2014
Knight Transportation	1118034	5500	4705		9915		2017
Knight Transportation	5136261	25400	23069		74949		2018
LaserShip Inc.	400000		29		27		2018
McCoy Group	215885	1141	948		1795		2013
McCoy Group	318811	2500	822	22	1900		2014
McCoy Group	249244	1083	1081		2096		2014
PS Logistics	495300	2600	2247		2359		2017
PS Logistics	595780	3000	2500				2018
Purolator Inc.	1256245	11300	493	3833	1113		2009
Purolator Inc.	1526207	10000	463		1280		2017
Purolator Inc.	1343111	10000	465		1329		2018
Purolator Inc.	1448777	11300	432	3273	1149		2010
Purolator Inc.	1633241	12000	432	3342	1150		2011
Purolator Inc.	1632291	12000	487	3256	1296		2012
Purolator Inc.	1575391	12000	493	169	1292		2013
Purolator Inc.	1524071	11500	489	3221	1286		2014
R+L Carriers	1452000	10000	5958		12604		2017
R+L Carriers	1580000		5084		15675		2018
Ryder Supply Chain Solutions	1734834	15017	3272	707	5455		2010
Ryder Supply Chain Solutions	2211000	12387	3503	918	5526		2011
Ryder Supply Chain Solutions	2280586	13711	3729	692	6282		2012
Ryder Supply Chain Solutions	2383063	14312	4098		6042		2013
Ryder Supply Chain Solutions	2461149		4098		6042		2014
Ryder Supply Chain Solutions	2658745		67900		42800		2017
Ryder Supply Chain Solutions	3065500						2018
Ryder Supply Chain Solutions	4887254	22900	49328	72527	49660		2009
Salmon Cos.	241796		713		1092		2017
Salmon Cos.	314303		713		1092		2018
Shevell Group	434000	3400	2660	141	5200		2009
Shevell Group	442000	3600	2855	150	5600		2010
Shevell Group	441000	3310	3470	145	5250		2011
Shevell Group	446000	3400	2155	120	4700		2012
Shevell Group	450105	3515	2140	115	4600		2013
Shevell Group	461000	3559	1920	125	4600		2014
Shevell Group	436000	3895	1550		3902		2017
Shevell Group	439500	3745	1550		3950		2018
Sirva Inc.	1731900	2300	2510	1388	8002		2010
Sirva Inc.	1957000	2700	2435	1429	4104		2011
Sirva Inc.	1973000		2465	1454	4074		2012
Sirva Inc.	1994200	2700	1832	506	6516		2013
Sirva Inc.	1464400	2700	2609	1625	4263		2014
Sirva Inc.	1400000						2017
Sirva Inc.	1400000						2018
Sirva Inc.	1698900	2600	2627	1477	4362		2009
Suddath	550000						2017
Suddath	550000						2018
TFI International	3037205	17685	18535		25310		2017
TFI International	3906575	17044	16132		24617		2018
TransForce Inc.	1942746	11600	4906	1294	10684		2010
TransForce Inc.	1618111	13900	6700	0	12000		2009
TransForce Inc.	2719907	14680	4906	1294	10684		2011
TransForce Inc.	3141513	14240	11380	0	11700		2012
TransForce Inc.	3019367	14210	11930		11200		2013
TransForce Inc.	3363213	16050	14980		18680		2014
Transport Investments Inc.	215359	127	730	0	780		2011
Transport Investments Inc.	237068	115	755		1101		2014
Transport Investments Inc.	276000	200	1150		2100		2017
Transport Investments Inc.	339920	190	1037		1846		2018
TransSystem Inc.	246002	898	876		1110		2013
TransSystem Inc.	262627	965	924		1463		2014
TransSystem Inc.	252500	1100	1021		1600		2017
TransSystem Inc.	271000	1050	1000		1700		2018
Two Men and a Truck Movers	487236	6136					2018
U.S. 1 Industries	210751	89	1700	0	0		2010
U.S. 1 Industries	216000	91	1702	0	100		2011
U.S. 1 Industries	179732	89	1700	0	0		2009
