Company	Revenue	SCAC	Year	g.mile.CO2	g.mile.NOx	g.mile.PM	index
P.A.M. Transportation Services Inc.	437838	PAMT	2018	1480	0.9	0.006	8
Panther Expedited Services	196414	PTWT	2010	1500	4.05	0.085	1
Paschall Truck Lines Inc.	172717	PASC	2009	1560	0.9	0.026	1
Paschall Truck Lines Inc.	200845	PASC	2010	1560	0.9	0.026	2
Paschall Truck Lines Inc.	218383	PASC	2011	1560	0.9	0.026	3
Paschall Truck Lines Inc.	220696	PASC	2012	1560	0.9	0.026	4
Paschall Truck Lines Inc.	222685	PASC	2013	1560	0.9	0.026	5
Paschall Truck Lines Inc.	261211	PASC	2014	1560	0.9	0.026	6
Paschall Truck Lines Inc.	237311	PASC	2017	1560	0.9	0.026	7
Penske Logistics	4000000	PSKL	2009	1830	13.5	0.525	1
Penske Logistics	2400000	PSKL	2010	1830	13.5	0.525	2
Penske Logistics	990000	PSKL	2011	1830	13.5	0.525	3
Penske Logistics	951000	PSKL	2012	1830	13.5	0.525	4
Penske Logistics	968000	PSKL	2013	1830	13.5	0.525	5
Penske Logistics	1137000	PSKL	2014	1830	13.5	0.525	6
Penske Logistics	1500000	PSKL	2017	1830	13.5	0.525	7
Penske Logistics	1700000	PSKL	2018	1830	13.5	0.525	8
Pitt Ohio Transportation Group	255198	PITD	2009	1550	3.2	0.06	1
Pitt Ohio Transportation Group	312454	PITD	2010	1550	3.2	0.06	2
Pitt Ohio Transportation Group	358384	PITD	2011	1550	3.2	0.06	3
Pitt Ohio Transportation Group	388200	PITD	2012	1550	3.2	0.06	4
Pitt Ohio Transportation Group	429800	PITD	2013	1550	3.2	0.06	5
Pitt Ohio Transportation Group	551300	PITD	2014	1550	3.2	0.06	6
Pitt Ohio Transportation Group	649972	PITD	2017	1550	3.2	0.06	7
Pitt Ohio Transportation Group	715827	PITD	2018	1550	3.2	0.06	8
Quality Distribution Inc.	613609	QTKI	2009	1887.5	10.15	0.191	1
Quality Distribution Inc.	686598	QTKI	2010	1887.5	10.15	0.191	2
Quality Distribution Inc.	745951	QTKI	2011	1887.5	10.15	0.191	3
Quality Distribution Inc.	842118	QTKI	2012	1887.5	10.15	0.191	4
Quality Distribution Inc.	929810	QTKI	2013	1887.5	10.15	0.191	5
Quality Distribution Inc.	991758	QTKI	2014	1887.5	10.15	0.191	6
Quality Distribution Inc.	758000	QTKI	2017	1887.5	10.15	0.191	7
Quality Distribution Inc.	786000	QTKI	2018	1887.5	10.15	0.191	8
RoadLink	374000	RDLK	2009	1655	16.5	0.53	1
RoadLink	297000	RDLK	2010	1655	16.5	0.53	2
Roadrunner Transportation Systems Inc.	450351	RDFS	2009	1830	13.5	0.525	1
Roadrunner Transportation Systems Inc.	632018	RDFS	2010	1830	13.5	0.525	2
Roadrunner Transportation Systems Inc.	843627	RDFS	2011	1830	13.5	0.525	3
Roadrunner Transportation Systems Inc.	1073354	RDFS	2012	1830	13.5	0.525	4
Roadrunner Transportation Systems Inc.	1361410	RDFS	2013	1830	13.5	0.525	5
Roadrunner Transportation Systems Inc.	1872816	RDFS	2014	1830	13.5	0.525	6
Roadrunner Transportation Systems Inc.	2044000	RDFS	2017	1830	13.5	0.525	7
Roadrunner Transportation Systems Inc.	2091300	RDFS	2018	1830	13.5	0.525	8
Roehl Transport Inc.	228057	ROEV	2009	1480	0.9	0.026	1
Roehl Transport Inc.	272536	ROEV	2010	1480	0.9	0.026	2
Roehl Transport Inc.	339388	ROEV	2011	1480	0.9	0.026	3
Roehl Transport Inc.	374620	ROEV	2012	1480	0.9	0.026	4
Roehl Transport Inc.	384007	ROEV	2013	1480	0.9	0.026	5
Roehl Transport Inc.	395971	ROEV	2014	1480	0.9	0.026	6
Roehl Transport Inc.	355323	ROEV	2017	1480	0.9	0.026	7
Roehl Transport Inc.	384473	ROEV	2018	1480	0.9	0.026	8
Ruan Transportation Management Systems	680134	RLCF,RUAN	2009	1600	1.55	0.085	1
Ruan Transportation Management Systems	669905	RLCF,RUAN	2010	1600	1.55	0.085	2
Ruan Transportation Management Systems	750915	RLCF,RUAN	2011	1600	1.55	0.085	3
Ruan Transportation Management Systems	774892	RLCF,RUAN	2012	1600	1.55	0.085	4
Ruan Transportation Management Systems	807507	RLCF,RUAN	2013	1600	1.55	0.085	5
Ruan Transportation Management Systems	848759	RLCF,RUAN	2014	1600	1.55	0.085	6
Ruan Transportation Management Systems	872184	RLCF,RUAN	2017	1600	1.55	0.085	7
Ruan Transportation Management Systems	836298	RLCF,RUAN	2018	1600	1.55	0.085	8
Saia Inc.	849141	SAIA	2009	1450	5	0.14	1
Saia Inc.	902660	SAIA	2010	1450	5	0.14	2
Saia Inc.	1030224	SAIA	2011	1450	5	0.14	3
Saia Inc.	1100000	SAIA	2012	1450	5	0.14	4
Saia Inc.	1139044	SAIA	2013	1450	5	0.14	5
Saia Inc.	1272321	SAIA	2014	1450	5	0.14	6
Saia Inc.	1218481	SAIA	2017	1450	5	0.14	7
Saia Inc.	1378510	SAIA	2018	1450	5	0.14	8
Schneider National Inc.	2900000	SCNN	2009	1075	16.5	0.46	1
Schneider National Inc.	3100000	SCNN	2010	1075	16.5	0.46	2
Schneider National Inc.	3400000	SCNN	2011	1075	16.5	0.46	3
Schneider National Inc.	3500000	SCNN	2012	1075	16.5	0.46	4
Schneider National Inc.	3600000	SCNN	2013	1075	16.5	0.46	5
Schneider National Inc.	3900000	SCNN	2014	1075	16.5	0.46	6
Schneider National Inc.	4045736	SCNN	2017	1075	16.5	0.46	7
Schneider National Inc.	4383600	SCNN	2018	1075	16.5	0.46	8
SLH Transport	193595	SLHO	2010	1640	5.9	0.086	1
Southeastern Freight Lines	703354	SEFL	2009	1650	3.2	0.06	1
Southeastern Freight Lines	826755	SEFL	2010	1650	3.2	0.06	2
Southeastern Freight Lines	942912	SEFL	2011	1650	3.2	0.06	3
Southeastern Freight Lines	1012908	SEFL	2012	1650	3.2	0.06	4
Southeastern Freight Lines	1065188	SEFL	2013	1650	3.2	0.06	5
Southeastern Freight Lines	1171968	SEFL	2014	1650	3.2	0.06	6
Southeastern Freight Lines	1192296	SEFL	2017	1650	3.2	0.06	7
Southeastern Freight Lines	1260050	SEFL	2018	1650	3.2	0.06	8
Superior Bulk Logistics Inc.	188278	SUAH	2009	1480	10.9	0.086	1
Superior Bulk Logistics Inc.	207060	SUAH	2010	1480	10.9	0.086	2
Superior Bulk Logistics Inc.	224000	SUAH	2011	1480	10.9	0.086	3
Superior Bulk Logistics Inc.	234700	SUAH	2012	1480	10.9	0.086	4
Superior Bulk Logistics Inc.	250700	SUAH	2013	1480	10.9	0.086	5
Superior Bulk Logistics Inc.	260200	SUAH	2014	1480	10.9	0.086	6
Superior Bulk Logistics Inc.	233900	SUAH	2017	1480	10.9	0.086	7
Superior Bulk Logistics Inc.	252300	SUAH	2018	1480	10.9	0.086	8
Swift Transportation	2571000	SWFT	2009	1570	2	0.0115	1
Swift Transportation	2929723	SWFT	2010	1570	2	0.0115	2
Swift Transportation	3333908	SWFT	2011	1570	2	0.0115	3
Swift Transportation	3493182	SWFT	2012	1570	2	0.0115	4
Swift Transportation	4118195	SWFT	2013	1570	2	0.0115	5
Swift Transportation	4298724	SWFT	2014	1570	2	0.0115	6
Swift Transportation	4031517	SWFT	2017	1570	2	0.0115	7
The Dependable Cos.	257000	DPXI	2013	2250	23.5	1.025	1
The Dependable Cos.	282000	DPXI	2014	2250	23.5	1.025	2
The Dependable Cos.	278000	DPXI	2017	2250	23.5	1.025	3
The Dependable Cos.	274000	DPXI	2018	2250	23.5	1.025	4
The Waggoners Trucking	224722	WAGP	2011	1800	9.05	0.415	1
The Waggoners Trucking	247031	WAGP	2012	1800	9.05	0.415	2
TMC Transportation	394000	TDED	2017	1670	5	0.2435	1
TMC Transportation	413000	TDED	2018	1670	5	0.2435	2
TransAm Trucking Inc.	267738	TAMI	2009	1540	2.2	0.055	1
TransAm Trucking Inc.	269660	TAMI	2010	1540	2.2	0.055	2
TransAm Trucking Inc.	305000	TAMI	2011	1540	2.2	0.055	3
TransAm Trucking Inc.	321000	TAMI	2012	1540	2.2	0.055	4
TransAm Trucking Inc.	270000	TAMI	2017	1540	2.2	0.055	5
TransAm Trucking Inc.	280000	TAMI	2018	1540	2.2	0.055	6
Transport America	203178	EXTO	2009	2250	23.5	1.025	1
Transport America	219721	EXTO	2010	2250	23.5	1.025	2
Transport America	392000	EXTO	2011	2250	23.5	1.025	3
Transport America	363546	EXTO	2012	2250	23.5	1.025	4
Transport America	347465	EXTO	2013	2250	23.5	1.025	5
TransX Group of Companies	448666	TNXL	2009	1700	6.55	0.195	1
TransX Group of Companies	454148	TNXL	2010	1700	6.55	0.195	2
TransX Group of Companies	507481	TNXL	2011	1700	6.55	0.195	3
TransX Group of Companies	534214	TNXL	2012	1700	6.55	0.195	4
TransX Group of Companies	533061	TNXL	2013	1700	6.55	0.195	5
TransX Group of Companies	482571	TNXL	2014	1700	6.55	0.195	6
TransX Group of Companies	423678	TNXL	2017	1700	6.55	0.195	7
TransX Group of Companies	415541	TNXL	2018	1700	6.55	0.195	8
Trimac Transportation	505000	TSUH,TTOS	2009	1700	1.55	0.015	1
Trimac Transportation	579551	TSUH,TTOS	2010	1700	1.55	0.015	2
Trimac Transportation	589000	TSUH,TTOS	2011	1700	1.55	0.015	3
Trimac Transportation	722288	TSUH,TTOS	2012	1700	1.55	0.015	4
Trimac Transportation	761000	TSUH,TTOS	2013	1700	1.55	0.015	5
Trimac Transportation	737725	TSUH,TTOS	2014	1700	1.55	0.015	6
Trimac Transportation	700000	TSUH,TTOS	2017	1700	1.55	0.015	7
Trimac Transportation	576796	TSUH,TTOS	2018	1700	1.55	0.015	8
U.S. Xpress Enterprises	1394537	USXI	2009	1560	0.9	0.006	1
U.S. Xpress Enterprises	1585283	USXI	2010	1560	0.9	0.006	2
U.S. Xpress Enterprises	1695548	USXI	2011	1560	0.9	0.006	3
U.S. Xpress Enterprises	1756464	USXI	2012	1560	0.9	0.006	4
U.S. Xpress Enterprises	1600000	USXI	2013	1560	0.9	0.006	5
U.S. Xpress Enterprises	1730000	USXI	2014	1560	0.9	0.006	6
U.S. Xpress Enterprises	1500000	USXI	2017	1560	0.9	0.006	7
U.S. Xpress Enterprises	1600000	USXI	2018	1560	0.9	0.006	8
UniGroup Inc.	1600000	AERM	2009	2460	28.5	1.275	1
UniGroup Inc.	1520000	AERM	2010	2460	28.5	1.275	2
UniGroup Inc.	1580000	AERM	2011	2460	28.5	1.275	3
UniGroup Inc.	1613124	AERM	2012	2460	28.5	1.275	4
UniGroup Inc.	1700000	AERM	2013	2460	28.5	1.275	5
UniGroup Inc.	1700000	AERM	2014	2460	28.5	1.275	6
UniGroup Inc.	1700000	AERM	2017	2460	28.5	1.275	7
UniGroup Inc.	1700000	AERM	2018	2460	28.5	1.275	8
United Road Services Inc.	198000	URDS	2009	2032.5	9.05	0.33	1
United Road Services Inc.	285000	URDS	2010	2032.5	9.05	0.33	2
United Road Services Inc.	307000	URDS	2011	2032.5	9.05	0.33	3
United Road Services Inc.	325000	URDS	2012	2032.5	9.05	0.33	4
United Road Services Inc.	333464	URDS	2013	2032.5	9.05	0.33	5
United Road Services Inc.	532000	URDS	2014	2032.5	9.05	0.33	6
United Road Services Inc.	525000	URDS	2017	2032.5	9.05	0.33	7
United Road Services Inc.	645000	URDS	2018	2032.5	9.05	0.33	8
United Vision Logistics	461100	DYNS	2010	1670	14	0.5375	1
United Vision Logistics	494000	DYNS	2011	1670	14	0.5375	2
United Vision Logistics	400325	DYNS	2013	1670	14	0.5375	3
United Vision Logistics	245000	DYNS	2017	1670	14	0.5375	4
United Vision Logistics	256000	DYNS	2018	1670	14	0.5375	5
Universal Logistics Holdings	1072751	ULSV	2017	1830	13.5	0.525	1
Universal Logistics Holdings	1216665	ULSV	2018	1830	13.5	0.525	2
Werner Enterprises Inc.	1666470	WENP,WEND,WENL,WGLL,WENF,WMMD,WEDV,WERN,WVAS,WMMI,WVAD,WRBH	2009	1480	0.9	0.026	1
Werner Enterprises Inc.	1815020	WENP,WEND,WENL,WGLL,WENF,WMMD,WEDV,WERN,WVAS,WMMI,WVAD,WRBH	2010	1480	0.9	0.026	2
Werner Enterprises Inc.	2002850	WENP,WEND,WENL,WGLL,WENF,WMMD,WEDV,WERN,WVAS,WMMI,WVAD,WRBH	2011	1480	0.9	0.026	3
Werner Enterprises Inc.	2036386	WENP,WEND,WENL,WGLL,WENF,WMMD,WEDV,WERN,WVAS,WMMI,WVAD,WRBH	2012	1480	0.9	0.026	4
Werner Enterprises Inc.	2029183	WENP,WEND,WENL,WGLL,WENF,WMMD,WEDV,WERN,WVAS,WMMI,WVAD,WRBH	2013	1480	0.9	0.026	5
Werner Enterprises Inc.	2139289	WENP,WEND,WENL,WGLL,WENF,WMMD,WEDV,WERN,WVAS,WMMI,WVAD,WRBH	2014	1480	0.9	0.026	6
Werner Enterprises Inc.	2008991	WENP,WEND,WENL,WGLL,WENF,WMMD,WEDV,WERN,WVAS,WMMI,WVAD,WRBH	2017	1480	0.9	0.026	7
Werner Enterprises Inc.	2116737	WENP,WEND,WENL,WGLL,WENF,WMMD,WEDV,WERN,WVAS,WMMI,WVAD,WRBH	2018	1480	0.9	0.026	8
Western Express Inc.	439000	WSXI	2009	1700	1.55	0.015	1
Western Express Inc.	432000	WSXI	2010	1700	1.55	0.015	2
Western Express Inc.	433000	WSXI	2011	1700	1.55	0.015	3
Western Express Inc.	433018	WSXI	2012	1700	1.55	0.015	4
Western Express Inc.	463454	WSXI	2013	1700	1.55	0.015	5
Western Express Inc.	540104	WSXI	2014	1700	1.55	0.015	6
Western Express Inc.	527909	WSXI	2017	1700	1.55	0.015	7
Western Express Inc.	566230	WSXI	2018	1700	1.55	0.015	8
Wheaton Van Lines	250000	WHTN	2011	1550	13	0.42	1
Wheaton Van Lines	250000	WHTN	2012	1550	13	0.42	2
Wheaton Van Lines	221000	WHTN	2013	1550	13	0.42	3
Wheaton Van Lines	210527	WHTN	2014	1550	13	0.42	4
XPO Logistics	2356600	XPOL	2014	2250	23.5	1.025	1
XPO Logistics	14619400	XPOL	2017	2250	23.5	1.025	2
XPO Logistics	15380800	XPOL	2018	2250	23.5	1.025	3
YRC Worldwide Inc. 	5282778	RDWY	2009	1675	15.5	0.46	1
YRC Worldwide Inc. 	4334640	RDWY	2010	1675	15.5	0.46	2
YRC Worldwide Inc. 	4868844	RDWY	2011	1675	15.5	0.46	3
YRC Worldwide Inc. 	4850500	RDWY	2012	1675	15.5	0.46	4
YRC Worldwide Inc. 	4865400	RDWY	2013	1675	15.5	0.46	5
YRC Worldwide Inc. 	5068800	RDWY	2014	1675	15.5	0.46	6
YRC Worldwide Inc. 	4697500	RDWY	2017	1675	15.5	0.46	7
YRC Worldwide Inc. 	4891000	RDWY	2018	1675	15.5	0.46	8
